parche,Asteracea_amarilla,Acanthaceae,Acacia_constricta,Acantothamnus,Agave_salmiana,Aeschinomene_compacta,Asclepiadaceae,Asteracea,Acacia_subangulata,Ayenia,Bursera_copalifera,Bouteloa_gracilis,Beaucarnea_gracilis,Boraginaceae,Boubardia,Cardiospermum,Cordia_curassavica,Calliandra_eriophylla,Cochnattia,Comelinaceae,Celtis_pallida,Croton_siliatoglandulifolus,Cnidosculus_tehuacanensis,Ditaxis_guatemalensis,Echinopterix_eglandulosa,Esembechia,Euphorbia,Ferocactus_flavovirens,Ferocactus_latispinus,hemiphylacus,Hibiscus,Hoffmansegia,hechtia,Ipomea_arborescens,Ibervillia,Ipomea_sp,Jatropha_dioica,Justicia_mexicana,Lantana_achirantifolia,Leguminosa,Lippia_graveolens,Mamilaria_casoi,Mamilaria_collina,Mentzelia,Malpighia_gallotiana,Mamilaria_haggiana,Mimosa_lacerata,Montanoa,Mamilaria_sphacellata,Mascagnia_seleriana,Neobuxbaumia_macrocephala,Neobuxbaumia_mezcalaensis,Opuntia_decumbens,Opuntia_pilifera,Peresia,Pseudosmodyngium_multifolium,Polygala,Prosopis_laevigata,Ruelia_hirsutoglandulosa,Ruelia,Sanvitalia,Scrophularaceae,Spherocactus,Senecium_praecox,Shaefferia_stenophyla,Synanchum,Turnera_difusa,Tetecho,Tradescantdia,Yucca_periculosa,Zapoteca_formosa
parche1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parche2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parche3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parche4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
parche5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parche6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parche7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parche8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parche9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
parche10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
