ID,date,dep,balsa,dist,pend,ped,long_ped,alt.ped,nurse,cod,plot,microhabitat,h,dia1,dia2,diam,biov,cover,orienta,avena_barbata,bromus_diandrus,bromus_fasciculatus,bromus_rubens,brachypodium_distachyon,brachypodium_retusum,piptatherum_miliaceum,stipa_capensis,stipa_parviflora,stipa_tenacissima,melica_minuta,lygeum_spartum,phragmites_australis,vulpia_myuros,dactylis_glomerata,erianthus_ravennae,aegilops_geniculata,avellinia_michelii,cynodon_dactylon,rostraria_cristata,hordeum_murinum,desmazeria_rigida,psilurus_incurvus,hyparrhenia_sinaica,lamarckia_aurea,lolium_rigidum,juncus_acutus,chamaerops_humilis,asparagus_horridus,asparagus_acutifolius,asparagus_albus,serapias_parviflora,asphodelus_tenuifolius,atractylis_cancellata,atractylis_humilis,carduus_tenuiflorus,centaurea_melitensis,calendula_arvensis,leontodon_longirostris,sonchus_asper,sonchus_tenerrimus,urospermum_picroides,scolymus_hispanicus,launaea_fragilis,launaea_arborescens,launaea_nudicaulis,cheirolophus_intybaceus,carthamus_lanatus,crepis_vesicaria,filago_fuscescens,filago_gallica,hypochoeris_glabra,hypochoeris_radicata,dittrichia_viscosa,pallenis_spinosa,senecio_vulgaris,reichardia_tingitana,helichrysum_stoechas,hedypnois_cretica,aetheorhiza_bulbosa,asteriscus_maritimus,phagnalon_rupestre,phagnalon_saxatile,campanula_erinus,bupleurum_semicompositum,pseudorlaya_pumila,eryngium_campestre,thapsia_villosa,distichoselinum_tenuifolium,foeniculum_vulgare,torilis_nodosa,cephalaria_leucantha,lonicera_implexa,teucrium_capitatum,teucrium_carthaginense,ballota_hirsuta,lavandula_dentata,lavandula_multifida,thymus_hyemalis,bellardia_trixago,linaria_arvensis,misopates_orontium,globularia_alypum,plantago_afra,plantago_ovata,plantago_crassifolia,plantago_albicans,plantago_bellardii,olea_europaea,convolvulus_althaeoides,solanum_nigrum,withania_frutescens,blackstonia_perfoliata,centaurium_quadrifolium,periploca_angustifolia,galium_murale,vallantia_hispida,rubia_peregrina,echium_creticum,anagallis_arvensis,asterolinon_linumstellatum,coris_monspeliensis,atriplex_halimus,atriplex_semibaccata,halogeton_sativus,salsola_genistoides,salsola_kali,salsola_oppositifolia,herniaria_cinerea,spergularia_rubra,polycarpon_tetraphyllum,paronychia_argentea,paronychia_suffruticosa,silene_decipiens,silene_tridentata,silene_secundiflora,silene_inaperta,mesembryanthemum_nodiflorum,limonium_cossonianum,limonium_carthaginense,limonium_echioides,rumex_bucephalophorus,rumex_intermedius,tamarix_canariensis,osyris_lanceolata,astragalus_sesameus,hedysarum_spinossisimum,medicago_littoralis,medicago_minima,melilotus_sulcatus,dorycnium_pentaphyllum,lotus_creticus,lotus_edulis,scorpiurus_muricatus,bituminaria_bituminosa,genista_umbellata,polygala_rupestris,rhamnus_alaternus,rhamnus_lycioides,sanguisorba_minor,euphorbia_exigua,euphorbia_falcata,euphorbia_terracina,mercurialis_annua,linum_strictum,viola_arborescens,oxalis_pescaprae,maytenus_senegalensis,fagonia_cretica,zygophyllum_fabago,carrichtera_annua,erucastrum_virgatum,lobularia_maritima,diplotaxis_harra,diplotaxis_ilorcitana,reseda_phyteuma,fumana_ericoides,fumana_thymifolia,cistus_monspeliensis,helianthemum_syriacum,daphne_gnidium,thymelaea_hirsuta,haplophyllum_linifolium,ruta_angustifolia,pistacia_lentiscus,erodium_cicutarium,erodium_malacoides,sedum_sediforme,pinus_halepensis,tetraclinis_articulata
17r_hysi_10c,4/30/2015,17r,1,5,3,4,2,0.14,hysi,10c,10,claro,60,62,27,44.5,0.026,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17r_hysi_10p,4/30/2015,17r,1,5,3,4,2,0.14,hysi,10p,10,parche,60,62,27,44.5,0.026,80,se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17r_hysi_11c,4/30/2015,17r,2,60,2,4,7,0.489,hysi,11c,11,claro,29,24,22,23,0.004,3,se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17r_hysi_11p,4/30/2015,17r,2,60,2,4,7,0.489,hysi,11p,11,parche,29,24,22,23,0.004,70,se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17r_hysi_12c,4/30/2015,17r,2,62,2,4,3,0.21,hysi,12c,12,claro,16,13,9,11,0,5,ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17r_hysi_12p,4/30/2015,17r,2,62,2,4,3,0.21,hysi,12p,12,parche,16,13,9,11,0,60,ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17r_hysi_13c,4/30/2015,17r,2,54,1,3,6,0.314,hysi,13c,13,claro,28,24,14,19,0.002,8,se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17r_hysi_13p,4/30/2015,17r,2,54,1,3,6,0.314,hysi,13p,13,parche,28,24,14,19,0.002,40,se,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17r_hysi_14c,4/30/2015,17r,2,52,3,4,6,0.42,hysi,14c,14,claro,27,98,36,67,0.025,1,se,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17r_hysi_14p,4/30/2015,17r,2,52,3,4,6,0.42,hysi,14p,14,parche,27,98,36,67,0.025,65,se,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0
