ID,nurse,miclarorohabitat,avena_barbata,bromus_diandrus,bromus_fasciculatus,brachypodium_distachyon,brachypodium_retusum,piptatherum_miliaceum,stipa_capensis,stipa_tenacissima,lygeum_spartum,phragmites_australis,vulpia_myuros,dactylis_glomerata,cynodon_dactylon,rostraria_cristata,psilurus_incurvus,hyparrhenia_sinaica,lamarckia_aurea,juncus_acutus,chamaerops_humilis,asparagus_horridus,asparagus_acutifolius,asparagus_albus,serapias_parviflora,atractylis_cancellata,carduus_tenuiflorus,centaurea_melitensis,calendula_arvensis,leontodon_longirostris,sonchus_asper,sonchus_tenerrimus,urospermum_picroides,launaea_arborescens,crepis_vesicaria,filago_fuscescens,filago_gallica,hypochoeris_radicata,dittrichia_viscosa,pallenis_spinosa,reichardia_tingitana,helichrysum_stoechas,aetheorhiza_bulbosa,asteriscus_maritimus,phagnalon_rupestre,phagnalon_saxatile,pseudorlaya_pumila,eryngium_campestre,thapsia_villosa,distichoselinum_tenuifolium,foeniculum_vulgare,torilis_nodosa,cephalaria_leucantha,teucrium_capitatum,teucrium_carthaginense,ballota_hirsuta,lavandula_dentata,lavandula_multifida,thymus_hyemalis,bellardia_trixago,linaria_arvensis,misopates_orontium,globularia_alypum,plantago_afra,plantago_albicans,plantago_bellardii,convolvulus_althaeoides,solanum_nigrum,withania_frutescens,blackstonia_perfoliata,centaurium_quadrifolium,periploca_angustifolia,vallantia_hispida,rubia_peregrina,echium_creticum,anagallis_arvensis,asterolinon_linumstellatum,coris_monspeliensis,atriplex_halimus,atriplex_semibaccata,halogeton_sativus,salsola_genistoides,salsola_kali,salsola_oppositifolia,spergularia_rubra,polycarpon_tetraphyllum,paronychia_argentea,paronychia_suffruticosa,silene_secundiflora,silene_inaperta,mesembryanthemum_nodiflorum,limonium_cossonianum,limonium_carthaginense,limonium_echioides,rumex_bucephalophorus,tamarix_canariensis,osyris_lanceolata,astragalus_sesameus,medicago_minima,dorycnium_pentaphyllum,lotus_edulis,bituminaria_bituminosa,polygala_rupestris,rhamnus_alaternus,rhamnus_lycioides,sanguisorba_minor,euphorbia_exigua,euphorbia_falcata,euphorbia_terracina,mercurialis_annua,linum_strictum,viola_arborescens,maytenus_senegalensis,fagonia_cretica,zygophyllum_fabago,carrichtera_annua,erucastrum_virgatum,lobularia_maritima,diplotaxis_harra,fumana_ericoides,fumana_thymifolia,cistus_monspeliensis,helianthemum_syriacum,daphne_gnidium,thymelaea_hirsuta,ruta_angustifolia,pistacia_lentiscus,erodium_cicutarium,erodium_malacoides,pinus_halepensis,tetraclinis_articulata
24r_atha_10c,atha,claro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24r_atha_10p,atha,parche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24r_atha_11c,atha,claro,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.6,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
24r_atha_11p,atha,parche,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.6,8.5,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
24r_atha_12c,atha,claro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24r_atha_12p,atha,parche,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0
24r_atha_13c,atha,claro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24r_atha_13p,atha,parche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24r_atha_14c,atha,claro,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24r_atha_14p,atha,parche,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,1.9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
