"","Jasonia_glutinosa","Aetheorhiza_bulbosa","Helichrysum_stoechas","Filago_fuscescens","Bombycilaena_erecta","Filago_gallica","Phagnalon_saxatile","Phagnalon_rupestre","Dittrichia_viscosa","Pallenis_spinosa","Pallenis_maritima","Artemisia_campestris","Santolina_chamaecyparissus","Calendula_arvensis","Crepis_vesicaria","Leontodon_saxatilis_subsp._rothii","Hypochaeris_radicata","Urospermum_picroides","Sonchus_asper","Sonchus_tenerrimus","Launaea_fragilis","Launaea_arborescens","Reichardia_tingitana","Scorzonera_sp","Centaurea_melitensis","Carduus_tenuiflorus","Atractylis_cancellata","Foeniculum_vulgare","Pseudorlaya_pumila","Distichoselinum_tenuifolium","Thapsia_sp","Thapsia_villosa","Torilis_nodosa","Bupleurum_fruticescens","Eryngium_campestre","Cephalaria_leucantha","Lomelosia_stellata","Thymus_moroderi","Thymus_hyemalis","Thymus_vulgaris","Rosmarinus_officinalis","Lavandula_latifolia","Lavandula_dentata","Lavandula_multifida","Teucrium_libanitis","Teucrium_carolipaui","Teucrium_carthaginense","Teucrium_capitatum","Teucrium_pseudochamaepitys","Ballota_hirsuta","Phlomis_lychnitis","Sideritis_incana","Sideritis_angustifolia","Bellardia_trixago","Orobanche_sp","Plantago_albicans","Plantago_bellardii","Plantago_afra","Globularia_alypum","Linaria_arvensis","Misopates_orontium","Olea_europaea","Echium_creticum","Lithodora_fruticosa","Valantia_hispida","Asperula_aristata","Rubia_peregrina","Periploca_laevigata_subsp._angustifolia","Centaurium_quadrifolium","Blackstonia_perfoliata","Solanum_americanum","Withania_frutescens","Convolvulus_lanuginosus","Convolvulus_althaeoides","Erica_multiflora","Lysimachia_linum-stellatum","Anagallis_arvensis","Coris_monspeliensis","Mesembryanthemum_nodiflorum","Silene_secundiflora","Silene_inaperta","Dianthus_sp","Gypsophila_struthium","Spergularia_rubra","Polycarpon_tetraphyllum","Paronychia_suffruticosa","Paronychia_argentea","Herniaria_fruticosa","Salsola_oppositifolia","Salsola_genistoides","Salsola_kali","Halogeton_sativus","Atriplex_semibaccata","Atriplex_halimus","Rumex_bucephalophorus","Limonium_sp","Limonium_carthaginense","Limonium_echioides","Limonium_cossonianum","Tamarix_canariensis","Thesium_humifusum","Osyris_lanceolata","Medicago_minima","Ononis_tridentata","Astragalus_sp","Astragalus_sesameus","Onobrychis_sp","Lotus_edulis","Dorycnium_pentaphyllum","Anthyllis_cytisoides","Anthyllis_terniflora","Coronilla_minima","Bituminaria_bituminosa","Ulex_parviflorus","Polygala_rupestris","Sanguisorba_minor","Rhamnus_lycioides","Rhamnus_alaternus","Quercus_coccifera","Viola_arborescens","Euphorbia_terracina","Euphorbia_exigua","Euphorbia_falcata","Mercurialis_annua","Linum_strictum","Gymnosporia_senegalensis","Zygophyllum_fabago","Fagonia_cretica","Erucastrum_virgatum","Diplotaxis_harra","Moricandia_arvensis","Carrichtera_annua","Matthiola_fruticulosa","Lobularia_maritima","Reseda_stricta","Reseda_phyteuma","Fumana_laevipes","Fumana_hispidula","Fumana_ericoides","Fumana_thymifolia","Cistus_albidus","Cistus_monspeliensis","Cistus_clusii","Helianthemum_violaceum","Helianthemum_squamatum","Helianthemum_cinereum","Helianthemum_syriacum","Daphne_gnidium","Thymelaea_hirsuta","Thymelaea_tinctoria","Ruta_angustifolia","Haplophyllum_rosmarinifolium","Pistacia_lentiscus","Erodium_malacoides","Erodium_cicutarium","Sedum_sediforme","Serapias_parviflora","Asparagus_albus","Asparagus_acutifolius","Asparagus_horridus","Dipcadi_serotinum","Lapiedra_martinezii","Asphodelus_fistulosus","Hyparrhenia_hirta","Cynodon_dactylon","Phragmites_australis","Vulpia_myuros","Psilurus_incurvus","Dactylis_glomerata","Lamarckia_aurea","Rostraria_cristata","Avena_barbata","Bromus_fasciculatus","Bromus_diandrus","Brachypodium_retusum","Brachypodium_phoenicoides","Brachypodium_distachyon","Stipa_offneri","Piptatherum_miliaceum","Stipa_parviflora","Stipa_capensis","Stipa_tenacissima","Lygeum_spartum","Carex_humilis","Juncus_acutus","Chamaerops_humilis","Juniperus_phoenicea","Juniperus_oxycedrus","Tetraclinis_articulata","Pinus_halepensis","Ephedra_fragilis"
"Jasonia_glutinosa",0,90.5192680000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.519268,90.5192690000001,90.519269,90.5192680000002,90.519269,90.519269,90.5192690000001,90.5192690000001,90.5192680000001,90.5192680000001,90.5192690000001,90.5192680000001,90.5192690000001,90.5192690000001,90.5192690000001,187.460423,187.460423,187.460423,187.460422,187.460423,187.460423,187.460423,187.460423,187.460423,187.460422,213.48282,213.48282,213.482821,213.482821,213.48282,213.48282,213.482821,213.48282,213.48282,213.48282,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.482821,213.48282,213.482821,213.482821,213.482821,213.482821,213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,224.681457,224.681456,224.681457,224.681457,239.748467,239.748466,239.748467,239.748466,239.748466,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748467,239.748467,239.748467,239.748467,239.748467,239.748466,239.748466,239.748466,239.748467,239.748467,239.748466,242.769328,242.769329,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468472,247.468473,247.468473,247.468473,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.4684729998,247.4684729998,247.4684729998,247.4684729998,247.468473,247.468473,247.468473,247.468473,247.4684730003,247.4684730003,247.468473,247.4684730003,247.4684730003,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516129,271.516129,271.516129,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516129,271.516129,271.516129,271.516129,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516129,271.516129,271.516128,271.516129,271.516129,650.100055,650.100055,650.100055,650.100055,650.100055
"Aetheorhiza_bulbosa",90.5192680000001,0,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.5192690000001,90.519268,90.5192690000001,90.519269,90.5192680000002,90.519269,90.519269,90.5192690000001,90.5192690000001,90.5192680000001,90.5192680000001,90.5192690000001,90.5192680000001,90.5192690000001,90.5192690000001,90.5192690000001,187.460423,187.460423,187.460423,187.460422,187.460423,187.460423,187.460423,187.460423,187.460423,187.460422,213.48282,213.48282,213.482821,213.482821,213.48282,213.48282,213.482821,213.48282,213.48282,213.48282,213.482821,213.482821,213.48282,213.48282,213.48282,213.482821,213.482821,213.48282,213.482821,213.482821,213.482821,213.482821,213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.482821,213.48282,213.48282,213.482821,213.482821,213.482821,213.482821,213.482821,224.681457,224.681456,224.681457,224.681457,239.748467,239.748466,239.748467,239.748466,239.748466,239.748467,239.748467,239.748466,239.748466,239.748466,239.748466,239.748467,239.748467,239.748467,239.748467,239.748467,239.748466,239.748466,239.748466,239.748467,239.748467,239.748466,242.769328,242.769329,247.468473,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468472,247.468473,247.468473,247.468473,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.4684729998,247.4684729998,247.4684729998,247.4684729998,247.468473,247.468473,247.468473,247.468473,247.4684730003,247.4684730003,247.468473,247.4684730003,247.4684730003,247.4684730003,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468472,247.468472,247.468472,247.468472,247.468472,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,271.516129,271.516129,271.516129,271.516129,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516129,271.516129,271.516129,271.516129,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516129,271.516128,271.516129,271.516129,271.516129,271.516129,271.516129,271.516128,271.516129,271.516129,650.100055,650.100055,650.100055,650.100055,650.100055
"Helichrysum_stoechas",90.5192690000001,90.5192690000001,0,13.516502,13.516502,13.516502,27.369892,27.369892,44.199414,44.199414,44.199414,45.97892,45.978919,45.97892,61.348278,61.3482770000001,61.348278,61.348278,61.348278,61.348278,61.348277,61.348277,61.348278,61.3482770000001,68.560448,68.560448,68.560448,187.460424,187.460424,187.460424,187.460423,187.460424,187.460424,187.460424,187.460424,187.460424,187.460423,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,224.681458,224.681457,224.681458,224.681458,239.748468,239.748467,239.748468,239.748467,239.748467,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748468,239.748468,239.748468,239.748468,239.748468,239.748467,239.748467,239.748467,239.748468,239.748468,239.748467,242.769329,242.76933,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468473,247.468474,247.468474,247.468474,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.4684739998,247.4684739998,247.4684739998,247.4684739998,247.468474,247.468474,247.468474,247.468474,247.4684740003,247.4684740003,247.468474,247.4684740003,247.4684740003,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,650.100056,650.100056,650.100056,650.100056,650.100056
"Filago_fuscescens",90.5192690000001,90.5192690000001,13.516502,0,5.834124,7.725148,27.369892,27.369892,44.199414,44.199414,44.199414,45.97892,45.978919,45.97892,61.348278,61.3482770000001,61.348278,61.348278,61.348278,61.348278,61.348277,61.348277,61.348278,61.3482770000001,68.560448,68.560448,68.560448,187.460424,187.460424,187.460424,187.460423,187.460424,187.460424,187.460424,187.460424,187.460424,187.460423,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,224.681458,224.681457,224.681458,224.681458,239.748468,239.748467,239.748468,239.748467,239.748467,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748468,239.748468,239.748468,239.748468,239.748468,239.748467,239.748467,239.748467,239.748468,239.748468,239.748467,242.769329,242.76933,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468473,247.468474,247.468474,247.468474,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.4684739998,247.4684739998,247.4684739998,247.4684739998,247.468474,247.468474,247.468474,247.468474,247.4684740003,247.4684740003,247.468474,247.4684740003,247.4684740003,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,650.100056,650.100056,650.100056,650.100056,650.100056
"Bombycilaena_erecta",90.5192690000001,90.5192690000001,13.516502,5.834124,0,7.725148,27.369892,27.369892,44.199414,44.199414,44.199414,45.97892,45.978919,45.97892,61.348278,61.3482770000001,61.348278,61.348278,61.348278,61.348278,61.348277,61.348277,61.348278,61.3482770000001,68.560448,68.560448,68.560448,187.460424,187.460424,187.460424,187.460423,187.460424,187.460424,187.460424,187.460424,187.460424,187.460423,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,224.681458,224.681457,224.681458,224.681458,239.748468,239.748467,239.748468,239.748467,239.748467,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748468,239.748468,239.748468,239.748468,239.748468,239.748467,239.748467,239.748467,239.748468,239.748468,239.748467,242.769329,242.76933,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468473,247.468474,247.468474,247.468474,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.4684739998,247.4684739998,247.4684739998,247.4684739998,247.468474,247.468474,247.468474,247.468474,247.4684740003,247.4684740003,247.468474,247.4684740003,247.4684740003,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,650.100056,650.100056,650.100056,650.100056,650.100056
"Filago_gallica",90.5192690000001,90.5192690000001,13.516502,7.725148,7.725148,0,27.369892,27.369892,44.199414,44.199414,44.199414,45.97892,45.978919,45.97892,61.348278,61.3482770000001,61.348278,61.348278,61.348278,61.348278,61.348277,61.348277,61.348278,61.3482770000001,68.560448,68.560448,68.560448,187.460424,187.460424,187.460424,187.460423,187.460424,187.460424,187.460424,187.460424,187.460424,187.460423,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,224.681458,224.681457,224.681458,224.681458,239.748468,239.748467,239.748468,239.748467,239.748467,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748468,239.748468,239.748468,239.748468,239.748468,239.748467,239.748467,239.748467,239.748468,239.748468,239.748467,242.769329,242.76933,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468473,247.468474,247.468474,247.468474,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.4684739998,247.4684739998,247.4684739998,247.4684739998,247.468474,247.468474,247.468474,247.468474,247.4684740003,247.4684740003,247.468474,247.4684740003,247.4684740003,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,650.100056,650.100056,650.100056,650.100056,650.100056
"Phagnalon_saxatile",90.5192690000001,90.5192690000001,27.369892,27.369892,27.369892,27.369892,0,2.438204,44.199414,44.199414,44.199414,45.97892,45.978919,45.97892,61.348278,61.3482770000001,61.348278,61.348278,61.348278,61.348278,61.348277,61.348277,61.348278,61.3482770000001,68.560448,68.560448,68.560448,187.460424,187.460424,187.460424,187.460423,187.460424,187.460424,187.460424,187.460424,187.460424,187.460423,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,224.681458,224.681457,224.681458,224.681458,239.748468,239.748467,239.748468,239.748467,239.748467,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748468,239.748468,239.748468,239.748468,239.748468,239.748467,239.748467,239.748467,239.748468,239.748468,239.748467,242.769329,242.76933,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468473,247.468474,247.468474,247.468474,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.4684739998,247.4684739998,247.4684739998,247.4684739998,247.468474,247.468474,247.468474,247.468474,247.4684740003,247.4684740003,247.468474,247.4684740003,247.4684740003,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,650.100056,650.100056,650.100056,650.100056,650.100056
"Phagnalon_rupestre",90.5192690000001,90.5192690000001,27.369892,27.369892,27.369892,27.369892,2.438204,0,44.199414,44.199414,44.199414,45.97892,45.978919,45.97892,61.348278,61.3482770000001,61.348278,61.348278,61.348278,61.348278,61.348277,61.348277,61.348278,61.3482770000001,68.560448,68.560448,68.560448,187.460424,187.460424,187.460424,187.460423,187.460424,187.460424,187.460424,187.460424,187.460424,187.460423,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,224.681458,224.681457,224.681458,224.681458,239.748468,239.748467,239.748468,239.748467,239.748467,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748468,239.748468,239.748468,239.748468,239.748468,239.748467,239.748467,239.748467,239.748468,239.748468,239.748467,242.769329,242.76933,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468473,247.468474,247.468474,247.468474,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.4684739998,247.4684739998,247.4684739998,247.4684739998,247.468474,247.468474,247.468474,247.468474,247.4684740003,247.4684740003,247.468474,247.4684740003,247.4684740003,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,650.100056,650.100056,650.100056,650.100056,650.100056
"Dittrichia_viscosa",90.5192690000001,90.5192690000001,44.199414,44.199414,44.199414,44.199414,44.199414,44.199414,0,11.332492,11.332492,45.97892,45.978919,45.97892,61.348278,61.3482770000001,61.348278,61.348278,61.348278,61.348278,61.348277,61.348277,61.348278,61.3482770000001,68.560448,68.560448,68.560448,187.460424,187.460424,187.460424,187.460423,187.460424,187.460424,187.460424,187.460424,187.460424,187.460423,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,224.681458,224.681457,224.681458,224.681458,239.748468,239.748467,239.748468,239.748467,239.748467,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748468,239.748468,239.748468,239.748468,239.748468,239.748467,239.748467,239.748467,239.748468,239.748468,239.748467,242.769329,242.76933,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468473,247.468474,247.468474,247.468474,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.4684739998,247.4684739998,247.4684739998,247.4684739998,247.468474,247.468474,247.468474,247.468474,247.4684740003,247.4684740003,247.468474,247.4684740003,247.4684740003,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,650.100056,650.100056,650.100056,650.100056,650.100056
"Pallenis_spinosa",90.5192690000001,90.5192690000001,44.199414,44.199414,44.199414,44.199414,44.199414,44.199414,11.332492,0,5.062053,45.97892,45.978919,45.97892,61.348278,61.3482770000001,61.348278,61.348278,61.348278,61.348278,61.348277,61.348277,61.348278,61.3482770000001,68.560448,68.560448,68.560448,187.460424,187.460424,187.460424,187.460423,187.460424,187.460424,187.460424,187.460424,187.460424,187.460423,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482821,213.482821,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482822,213.482821,213.482821,213.482822,213.482822,213.482822,213.482822,213.482822,224.681458,224.681457,224.681458,224.681458,239.748468,239.748467,239.748468,239.748467,239.748467,239.748468,239.748468,239.748467,239.748467,239.748467,239.748467,239.748468,239.748468,239.748468,239.748468,239.748468,239.748467,239.748467,239.748467,239.748468,239.748468,239.748467,242.769329,242.76933,247.468474,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468473,247.468474,247.468474,247.468474,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.4684739998,247.4684739998,247.4684739998,247.4684739998,247.468474,247.468474,247.468474,247.468474,247.4684740003,247.4684740003,247.468474,247.4684740003,247.4684740003,247.4684740003,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468473,247.468473,247.468473,247.468473,247.468473,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,247.468474,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,271.51613,271.51613,271.51613,271.516129,271.51613,271.51613,650.100056,650.100056,650.100056,650.100056,650.100056
