Hibiscus,Bouteloa gracilis,Aeschinomene compacta,Hechtia,Cnidosculus tehuacanensis,Lippia graveolens,Calliandra eriophylla,Ruelia,Ipomea sp,Justicia mexicana,Ruelia hirsutoglandulosa,Lantana achirantifolia,Echinopterix eglandulosa,Neobuxbaumia mezcalaensis,Opuntia decumbens,Yucca periculosa
False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False
False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False
False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False
False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
False,False,True,False,True,True,True,False,True,False,False,False,False,False,True,False
False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False
True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False
False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,True,True,False,True,False,True,False,False,False,True,False,False,False
False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
False,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False
False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False
False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False
False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False
False,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False
True,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False
False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
