Linum strictum,Piptatherum miliaceum,Fagonia cretica,Lygeum spartum,Leontodon longirostris,Plantago crassifolia,Paronychia suffruticosa,Helichrysum stoechas,Reichardia tingitana,Dittrichia viscosa,Phagnalon saxatile,Sonchus tenerrimus,Limonium carthaginense,Atriplex halimus,Hyparrhenia sinaica,Pinus halepensis
True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False
True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
True,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False
True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False
True,True,True,False,False,False,False,False,True,False,True,True,False,False,True,False
False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False
True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
True,True,False,False,False,False,False,True,True,True,True,True,False,True,False,False
False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False
True,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False
False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
